"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3, C4","2","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"3","C5, C6","2","100u 16V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"4","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"5","D3","1","11V","Diode_SMD:D_MiniMELF","","",""
"6","D4, D5","2","3V","Diode_SMD:D_MiniMELF","","",""
"7","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"8","J2, J3, J4, J5","4","AudioJack2_SwitchT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"9","J6, J9, J11, J13, J15, J17, J19, J21","8","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","","",""
"10","J7, J8, J10, J12, J14, J16, J18, J20","8","Conn_01x03_Socket","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","",""
"11","R1, R2","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"12","R3","1","4.7K","Resistor_SMD:R_0805_2012Metric","","",""
"13","R4","1","18K","Resistor_SMD:R_0805_2012Metric","","",""
"14","R5, R6","2","470","Resistor_SMD:R_0805_2012Metric","","",""
"15","R7, R8","2","110K","Resistor_SMD:R_0805_2012Metric","","",""
"16","R9","1","3.3M","Resistor_SMD:R_0805_2012Metric","","",""
"17","R10, R11, R12, R13","4","200K","Resistor_SMD:R_0805_2012Metric","","",""
"18","R14, R15","2","100K","Resistor_SMD:R_0805_2012Metric","","",""
"19","R16","1","1M","Resistor_SMD:R_0805_2012Metric","","",""
"20","R17, R18, R19","3","100","Resistor_SMD:R_0805_2012Metric","","",""
"21","R20, R21","2","24K","Resistor_SMD:R_0805_2012Metric","","",""
"22","RV1, RV2, RV3, RV4, RV5, RV6, RV7, RV8, RV9, RV10","10","10K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"23","RV11, RV12, RV13, RV14, RV15, RV16, RV17, RV18, RV19, RV20","10","1K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"24","RV21, RV22","2","47K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"25","SW1, SW2","2","SW_Rotary12","Eurorack:Switch_Rotary_NKK_MRK_112","","Mouser","633-MRK112-BA"
"26","U1, U2","2","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","Mouser","595-TL074CDR"
